0.27,-0.96,0.02,0.37,-0.17,0.18,-11
0.27,-0.97,0.01,0.31,-0.24,0.06,-46
0.27,-0.96,0.02,0.56,-0.05,0.12,-4
0.27,-0.96,0.03,0.19,-0.24,0.00,15
0.27,-0.97,0.02,0.31,0.01,0.06,110
0.26,-0.97,0.01,0.31,-0.24,-0.06,53
0.27,-0.96,0.01,0.07,-0.05,-0.06,7
0.27,-0.97,0.01,0.43,-0.30,0.12,23
0.27,-0.96,0.02,-0.11,-0.18,0.06,43
0.27,-0.96,0.02,-0.05,-0.24,0.06,19
0.27,-0.97,0.02,0.19,-0.36,0.24,-19
0.26,-0.96,0.02,0.07,-0.18,-0.06,19
0.27,-0.96,0.02,-0.11,-0.30,-0.06,18
0.26,-0.96,0.02,0.31,-0.36,0.06,77
0.26,-0.97,0.02,0.25,-0.24,0.18,24
0.27,-0.96,0.01,0.37,-0.05,0.24,57
0.27,-0.97,0.02,-0.18,-0.24,-0.06,83
0.27,-0.97,0.02,0.19,-0.18,0.12,24
0.27,-0.97,0.02,0.43,-0.18,-0.06,57
0.39,-0.98,0.01,0.68,-0.72,-0.36,5517
